20240122;1;0;71.09
20240122;5;0;138.0
20240122;6;0;70.55
20240122;9;0;186.7
20240122;10;0;83.46
20240122;17;0;149.8
20240122;22;0;76.06
20240123;1;0;59.0
20240123;5;0;70.0
20240123;6;0;160.1
20240123;7;0;180.52
20240123;9;0;188.96
20240123;18;0;224.51
20240124;0;0;146.36
20240124;1;0;70.99
20240124;2;0;71.04
20240124;4;0;69.59
20240124;6;0;152.69
20240124;23;0;143.63
20240125;5;0;140.15
20240125;6;0;76.4
20240125;7;0;81.93
20240125;9;0;89.84
20240125;18;0;90.72
20240126;1;0;70.8
20240126;3;0;273.94
20240126;4;0;210.05
20240126;5;0;221.07
20240126;6;0;229.86
20240127;5;0;274.28
20240127;6;0;220.12
20240127;7;0;142.93
20240128;9;0;75.81
20240128;14;0;64.0
20240128;15;0;62.63
20240128;16;0;243.36
20240128;17;0;188.53
20240129;6;0;84.17
20240129;10;0;154.09
20240129;11;0;258.5
20240129;12;0;70.24
20240129;14;0;317.98
20240129;15;0;356.91
20240129;16;0;332.99
20240129;17;0;89.26
20240129;23;0;143.99
